Street,Zip,"",Lo,High,School,Odd/Even
Doane's Alley,08611,"","","",Mott Elementary,""
Doane's Alley,08611,"","","",Dunn Middle,""
Dresdan Avenue,08610,"","","",Dunn Middle,""
Dresden Avenue,08610,"","","",Franklin Elementary,""
Dunham Street,08618,"","","",Gregory Elem (Monument),""
Dunham Street,08618,"","","",Rivera Middle,""
Dye Street,08611,"","","",Columbus Elem (Harrison),""
Dye Street,08611,"","","",Dunn Middle,""
East Trenton Avenue,08638,"","","",Wilson Elementary,""
East Trenton Avenue,08638,"","","",Rivera Middle,""
Eastburn Avenue,08638,"","","",Wilson Elementary,""
Eastburn Avenue,08638,"","","",Rivera Middle,""
Eastfieid Avenue North,08618,"","","",Jefferson Elementary,""
Eastfield Avenue North,08618,"","","",Kilmer Middle School,""
Eastfield Avenue South,08618,"","","",Jefferson Elementary,""
Eastfield Avenue South,08618,"","","",Kilmer Middle School,""
Edgemere Avenue,08618,"","","",Gregory Elementary,""
Edgemere Avenue,08618,"","","",Kilmer Middle School,""
Edgewood Avenue,08618,"",500,799,Gregory Elementary,""
Edgewood Avenue,08618,"",800,End,Jefferson Elementary,""
Edmond Alley,08610,"","","",Gregory Elementary,""
Edmond Alley,08610,"","","",Kilmer Middle School,""
Edwards Plaza,08618,"","","",Jefferson Elementary,""
Edwards Plaza,08618,"","","",Kilmer Middle School,""
Eisenhower Avenue,08618,"","","",Jefferson Elementary,""
Eisenhower Avenue,08618,"","","",Kilmer Middle School,""
Elizabeth Avenue,08629,"","","",Robeson Elementary,No houses in Trenton
Elizabeth Avenue,08629,"","","",Hg-Wms. Middle,No houses in Trenton
Elizabeth Street,08609,"","","",Grant Elementary,""
Elizabeth Street,08609,"","","",Rivera Middle,""
Ellis Avenue,08638,"","","",Columbus Elementary,""
Ellis Avenue,08638,"","","",Rivera Middle,""
Ellsworth Avenue,08618,"","","",Gregory Elementary,""
Ellsworth Avenue,08618,"","","",Kilmer Middle School,""
Elm Street,08611,"","","",Columbus Elem (Harrison),""
Elm Street,08611,"","","",Dunn Middle,""
Elmer Street,08611,"","","",Robbins Elementary,""
Elmer Street,08611,"","","",Hg-Wms. Middle,""
Elmhurst Avenue,08618,"","","",Gregory Elementary,""
Elmhurst Avenue,08618,"","","",Kilmer Middle School,""
Emmett Avenue,08629,"","","",Robeson Elementary,""
Emmett Avenue,08629,"","","",Hg-Wms. Middle,""
Emory Avenue,08611,"","","",Washington Elementary,""
Emory Avenue,08611,"","","",Dunn Middle,""
Enterprise Avenue,08638,"","","",Wilson Elementary,""
Enterprise Avenue,08638,"","","",Rivera Middle,""
Escher Street,08609,"","","",Grant Elementary,""
Escher Street,08609,"","","",Rivera Middle,""
Euclid Avenue,08609,"","","",Hg-Wms. Middle,""
Euclid Avenue,08609,"","","",Robeson Elementary,""
Evans Avenue,08638,"","","",King Elementary,""
Evans Avenue,08638,"","","",Rivera Middle,""
Everett Alley,08611,"","","",Parker Elementary,""
Everett Alley,08611,"","","",Dunn Middle,""
Ewing Street,08609,"","","",Grant Elementary,""
Ewing Street,08609,"","","",Rivera Middle,""
Exton Avenue,08618,"","","",Gregory Elementary,""
Exton Avenue,08618,"","","",Kilmer Middle School,""
Faircrest Avenue,08609,"","","",Robbins Elementary,""
Faircrest Avenue,08609,"","","",Hg-Wms. Middle,""
Fairmount Avenue,08629,"","","",Robeson Elementary,Last odd 1051/Last even 1040
Fairmount Avenue,08629,"","","",Hg-Wms. Middle,Last odd 1051/Last even 1040
Fairway Drive,08618,"","","",Gregory Elem (Monument),""
Fairway Drive,08618,"","","",Rivera Middle,""
Farragut Avenue,08629,"","","",Robeson Elementary,""
Farragut Avenue,08629,"","","",Hg-Wms. Middle,""
Federal Street,08611,"","","",Dunn Middle,""
Fell Street,08638,"","","",King Elementary,""
Fell Street,08638,"","","",Rivera Middle,""
Ferry Street,08611,"","","",Parker Elementary,""
Ferry Street,08611,"","","",Dunn Middle,""
Fillmore Street,08638,"","","",Wilson Elementary,""
Filmore Street,08638,"","","",Rivera Middle,""
Firth Street,08638,"","","",Wilson Elementary,""
Firth Street,08638,"","","",Rivera Middle,""
Fisher Place,08618,"","","",Gregory Elementary,""
Fisher Place,08618,"","","",Kilmer Middle School,""
Forrest Street,08638,"","","",Robbins Elementary,""
Forrest Street,08638,"","","",Hg-Wms. Middle,""
Fountain Avenue,08618,"","","",King Elementary,""
Fountain Avenue,08618,"","","",Rivera Middle,""
Fowler Street,08618,"","","",Gregory Elem (Monument),""
Fowler Street,08618,"","","",Rivera Middle,""
Franklin Street,08611,"",1,79,Robbins Elementary,""
Franklin Street,08611,"",80,599,Washington Elementary,""
Franklin Street,08611,"",600,End,Franklin Elementary,""
Franklin Street,08611,"",1,79,Hg-Wms. Middle,""
Franklin Street,08611,"",80,End,Dunn Middle,""
Frazier Street,08618,"","","",Gregory Elem (Monument),""
Frazier Street,08618,"","","",Rivera Middle,""
Freeman Lane,08609,"","","",Hill Elementary,""
Freeman Lane,08609,"","","",Hg-Wms. Middle,""
Front Street East,08611,"","","",Parker Elementary,""
Front Street East,08611,"","","",Dunn Middle,""
Front Street West,08611,"","","",Parker Elementary,""
Front Street West,08611,"","","",Dunn Middle,""
Fuld Street,08638,"","","",King Elementary,""
Fuld Street,08638,"","","",Rivera Middle,""
Fulton Street,08611,"","","",Washington Elementary,""
Fulton Street,08611,"","","",Dunn Middle,""
Furman Street,08611,"","","",Parker Elementary,""
Furman Street,08611,"","","",Dunn Middle,""
Gardner Avenue,08618,"","","",Jefferson Elementary,""
Gardner Avenue,08618,"","","",Kilmer Middle School,""
Garfield Avenue,08609,"",1,99,Hill Elementary,""
Garfield Avenue,08609,"",100,End,Robeson Elementary,""
Garfield Avenue,08609,"","","",Hg-Wms. Middle,""
General Greene Avenue,08618,"","","",Gregory Elementary,""
General Greene Avenue,08618,"","","",Kilmer Middle School,""
