school,road,from,to,oddeven
UN,COLE ROAD,,,
UN,COLONIAL LAKE DRIVE,,,
UN,CONCORD AVENUE,,,
UN,CONRAD COURT,,,
UN,COOLIDGE AVENUE,,,
UN,COPPERFIELD DRIVE,,,
UN,CORAL TREE COURT,,,
UN,CRAB APPLE LANE,,,
UN,CRAIGIE AVENUE,,,
UN,CRAVEN LANE,,,
UN,CREEKSIDE COURT,,,
UN,CRESTHILL ROAD,,,
UN,CYPRESS COURT,,,
UN,DANIELLE COURT,,,
UN,DARRAH LANE,,,
UN,DAYNA LANE,,,
UN,DEER RUN,,,
UN,DELAWARE AND RARITAN CANAL TOWPATH,,,
UN,DENNICK COURT,,,
UN,DENOW ROAD,,,
UN,DEVON AVENUE,,,
UN,DICKENS DRIVE,,,
UN,DITMARS AVENUE,,,
UN,DIX LANE,,,
UN,DOGWOOD DRIVE,,,
UN,DONNA LYNN LANE,,,
UN,DORCHESTER COURT,,,
UN,DOROTHEA TERRACE,,,
UN,DREXEL AVENUE,,,
UN,DRIFT AVENUE,,,
UN,DUMONT COURT,,,
UN,DUNN ALLEY,,,
UN,DUSTIN DRIVE,,,
UN,EAGLES CHASE DRIVE,,,
UN,EAST DARRAH LANE,,,
UN,EAST RUN DRIVE,,,
UN,EASTON COURT,,,
UN,EDGEHILL AVENUE,,,
UN,EDGEWOOD AVENUE,,,
UN,EDITH DRIVE,,,
UN,EGGERTS CROSSING ROAD,,,
UN,ELDRIDGE AVENUE,,,
UN,ELM COURT,,,
UN,ELMO AVENUE,,,
UN,EMDEN AVENUE,,,
UN,EMPRESS LANE,,,
UN,ENTERPRISE AVENUE,,,
UN,ERIC COURT,,,
UN,ETS DRIVE,,,
UN,EVANS LANE,,,
UN,EXECUTIVE PARK PLAZA ROAD,,,
UN,FACKLER ROAD,,,
UN,FAIRBANKS PLACE,,,
UN,FAIRFIELD AVENUE,,,
UN,FAIRVIEW TERRACE,,,
UN,FAIRWAY COURT,,,
UN,FEATHERBED COURT,,,
UN,FEDERAL CITY ROAD,,,
UN,FEDERAL POINT BOULEVARD,,,
UN,FEILER COURT,,,
UN,FERNWOOD LANE,,,
UN,FIELDBORO DRIVE,,,
UN,FIELDCREST COURT,,,
UN,FILLMORE PLACE,,,
UN,FLORHAM DRIVE,,,
UN,FOCH AVENUE,,,
UN,FOREST AVENUE,,,
UN,FOUNTAYNE BOULEVARD,,,
UN,FOUNTAYNE LANE,,,
UN,FOXCROFT DRIVE,,,
UN,FOXTAIL COURT,,,
UN,FRANKLIN CORNER ROAD,,,
UN,FREDERICK COURT,,,
UN,GAINSBORO ROAD,,,
UN,GALLO COURT,,,
UN,GARDEN ROAD,,,
UN,GARRY COURT,,,
UN,GEDNEY ROAD,,,
UN,GEORGE STREET,,,
UN,GERVIN ROAD,,,
UN,GILPIN COURT,,,
UN,GLENBROOK COURT,,,
UN,GLENN AVENUE,,,
UN,GLENVIEW DRIVE,,,
UN,GOLDEN PLACE,,,
UN,GORDAN AVENUE,,,
UN,GORDON AVENUE,,,
UN,GRAF AVENUE,,,
UN,GRANDVIEW AVENUE,,,
UN,GREELEY ALLEY,,,
UN,GREEN AVENUE,,,
UN,GREENFIELD AVENUE,,,
UN,GREENWOOD AVENUE,,,
UN,GROVE AVENUE,,,
UN,GROVERS MILL ROAD,,,
UN,HAMILTON COURT,,,
UN,HARDING AVENUE,,,
UN,HARMONY AVENUE,,,
UN,HARRIS COURT,,,
UN,HAVESON AVENUE,,,
UN,HAWK ROAD,,,
UN,HAWTHORNE PLACE,,,
UN,HAZELHURST AVENUE,,,
UN,HEATHER COURT,,,
UN,HEDGE ROW COURT,,,
UN,HELEN AVENUE,,,
UN,HEMLOCK COURT,,,
UN,HENDRICKSON ROAD,,,
UN,HERITAGE WAY,,,
UN,HIGHFIELD COURT,,,
UN,HIGLAND ROAD,,,
UN,HILLCREST AVENUE,,,
UN,HILLSDALE ROAD,,,
UN,HOLLY LANE,,,
UN,HOOVER AVENUE,,,
UN,HOPATCONG DRIVE,,,
UN,HOPE STREET,,,
UN,HOPEWELL AVENUE,,,
UN,HOPKINS DRIVE,,,
UN,HUGHES AVENUE,,,
UN,HUMPHREY'S DRIVE,,,
UN,HUMPHREYS DRIVE,,,
UN,HURON WAY,,,
UN,HYDE COURT,,,
UN,INDIAN RUN,,,
UN,IRIS COURT,,,
UN,IRWIN PLACE,,,
UN,IVY GLEN LANE,,,
UN,J RUSSEL SMITH ROAD,,,
UN,JACKIE DRIVE,,,
UN,JAMES STREET,,,
UN,JASMINE COURT,,,
UN,JASMINE ROAD,,,
UN,JASPER AVENUE,,,
UN,JILL LANE,,,
UN,JOCHRIS DRIVE,,,
UN,JOFFRE AVENUE,,,
UN,JOHNSON AVENUE,,,
UN,JOHNSON ROAD,,,
UN,JOHNSON TROLLEY LINE TRAIL,,,
UN,JOYNER COURT,,,
UN,JUNIPER COURT,,,
UN,KARENA LANE,,,
UN,KEEFE ROAD,,,
UN,KENT COURT,,,
UN,KETTERER COURT,,,
UN,KINGS ROAD,,,
UN,KITE COURT,,,
UN,KLOCKNER COURT,,,
UN,KNOX COURT,,,
UN,LAKE COURT,,,
UN,LAKE DRIVE,,,
UN,LAKEDALE DRIVE,,,
UN,LANDFALL LANE,,,
UN,LANDOVER ROAD,,,
UN,LANNIGAN DRIVE,,,
UN,LANNING AVENUE,,,
UN,LARKSPUR LANE,,,
UN,LATTA COURT,,,
UN,LAUREL WOOD DRIVE,,,
UN,LAWN PARK AVENUE,,,
UN,LAWNSIDE DRIVE,,,
UN,LAWRENCE AVENUE,,,
UN,LAWRENCE HOPEWELL TRAIL,,,
UN,LAWRENCE SQUARE BOULEVARD,,,
UN,LAWRENCE STATION ROAD,,,
UN,LAWRENCEVILLE - PENNINGTON ROAD,,,
UN,LAWRENCEVILLE ROAD,,,
UN,LAWRENCEVILLE SCHOOL ROAD,,,
UN,LAWRENCIA DRIVE,,,
UN,LENOX DRIVE,,,
UN,LEWISVILLE ROAD,,,
UN,LITHO ROAD,,,
UN,LITTLE CIRCLE,,,
UN,LOCUST AVENUE,,,
UN,LOMBARD AVENUE,,,
UN,LOST TRAIL,,,
UN,LOTUS LANE,,,
UN,LUCERNE DRIVE,,,
UN,LUMAR ROAD,,,
UN,LYNN PLACE,,,
UN,MABEL AVENUE,,,
UN,MAGNOLIA COURT,,,
UN,MALL ACCESS ROAD,,,
UN,MANITEE AVENUE,,,
UN,MANNING LANE,,,
UN,MANOR BOULEVARD,,,
UN,MAPLE AVENUE,,,
UN,MAPLE LEAF DRIVE,,,
UN,MAPLEWOOD AVENUE,,,
UN,MARCHESI DRIVE,,,
UN,MARILYN COURT,,,
UN,MARK CERMELE COURT,,,
UN,MARLBORO ROAD,,,
UN,MARROW LANE,,,
UN,MARSH COURT,,,
UN,MARVIN COURT,,,
UN,MAYFLOWER AVENUE,,,
UN,MEADOW ROAD,,,
UN,MEADOWBROOK AVENUE,,,
UN,MELVINA DRIVE,,,
UN,MENDREY COURT,,,
UN,MERCER ROAD,,,
UN,MERION PLACE,,,
UN,MERLINE AVENUE,,,
UN,MERRITT DRIVE,,,
UN,MICHIGAN AVENUE,,,
